course_key,section_title,section_description,section_subtext,section_track_type,activity_type,activity_title,activity_cta,scenario_id,activity_track_type,activity_subtext
A3-auto,Learn to use 'Do' in past tense,Learning how to use 'Do' in past tense,Learning how to use 'Do' in past tense,experiment,speak,Revise: Using 'Do' in the Past Tense,Start Activity,0dc82af8-0984-475a-b759-2ddc80e634bf,main,Revise all past tense 'do' sentences.
A3-auto,Learn to use 'Do' in past tense,Learning how to use 'Do' in past tense,Learning how to use 'Do' in past tense,experiment,play,Translate: Learn to use 'Do' in past tense!,Start Activity,c5b1c65e-e770-4acd-9944-dc76d760ad35,main,Check your understanding of 'did' in past tense.
A3-auto,Talk about actions happening at the same time,Learn to describe actions happening together,Learn to describe actions happening together,experiment,speak,Translate: Talk about actions happening at the same time,Start Activity,833924bd-2e35-4ffb-9471-1464d5717cf4,main,Translate sentences about simultaneous actions.
A3-auto,Talk about actions happening at the same time,Learn to describe actions happening together,Learn to describe actions happening together,experiment,play,Actions Happening at the Same Time,Start Activity,6b373de8-11a3-4c54-ba27-f9c1a3dbe336,main,Learn to describe two actions at the same time.
A3-auto,Talk about actions happening at the same time,Learn to describe actions happening together,Learn to describe actions happening together,experiment,speak,Doing Two Things at Once,Start Activity,c7cee32a-91c6-4547-b32c-49847cc49b11,main,Talk about doing two things at once.
A3-auto,Talk about actions happening at the same time,Learn to describe actions happening together,Learn to describe actions happening together,experiment,play,Practice Both: Actions & Two Things Together,Start Activity,dd23acd6-a146-4f84-bcb5-14b1d412d7fd,main,Practice sentences about actions together.
A3-auto,Talk about actions happening at the same time,Learn to describe actions happening together,Learn to describe actions happening together,experiment,speak,Others Doing Things at the Same Time,Start Activity,1b27df2a-7db2-49a2-a0eb-1a51dd8c7e46,main,Describe others doing things at the same time.
A3-auto,Talk about actions happening at the same time,Learn to describe actions happening together,Learn to describe actions happening together,experiment,play,Talking About Groups Doing Actions Together,Start Activity,d9bcf39a-a008-4537-a26d-c226c7fe6332,main,Talk about groups doing actions together.
A3-auto,Talk about actions happening at the same time,Learn to describe actions happening together,Learn to describe actions happening together,experiment,speak,Negative Actions at the Same Time,Start Activity,1a5fba36-29c9-45bf-850a-e51adc1acb8c,main,Learn negative sentences about simultaneous actions.
A3-auto,Talk about actions happening at the same time,Learn to describe actions happening together,Learn to describe actions happening together,experiment,play,Practice: Negative Actions at the Same Time,Start Activity,648ab2ce-4afa-43c5-9ecf-1612394b2915,main,Practice negative simultaneous action sentences.
A3-auto,Talk about actions happening at the same time,Learn to describe actions happening together,Learn to describe actions happening together,experiment,speak,Practice All: Positive & Negative Actions,Start Activity,c9aae9e1-63f2-44f9-85fb-294997abad87,main,Practice all positive and negative action sentences.
A3-auto,Talk about actions happening at the same time,Learn to describe actions happening together,Learn to describe actions happening together,experiment,play,Translate: Talk about actions happening at the same time!,Start Activity,dcbf8592-5d9c-4140-8e99-073dc31e3964,main,Check your understanding of simultaneous actions.
