screen_number,screen_type,video_url_script,hindi_video_url_script,video_url,R2 links,auto_advance,overlay_main_text,overlay_sub_text,overlay_hint,overlay_cta_label,correct_answer,mcq_option_a,mcq_option_b,correct_option_id,show_result,success_video_url,failure_video_url,partial_video_url,waiting_video_url
,conversation,Nice! I can see that is my office building across the street. What about you - what's far from you?,"Cool! Over there, that is my scooter near the gate. Your turn - what can you point to far away?",FAR 3,https://sn-main.b-cdn.net/system-uploads/scenario-data/57089fbe-a3a7-4451-80d4-43eda314e96b-FAR_3.mp4,,,अच्छा! मुझे सड़क के उस पार मेरी office building दिख रही है। आपके पास क्या है — आपसे दूर क्या है?,,,,,,,,,,,
12,conversation,"Cool! Over there, that is my bike near the gate. Your turn - what can you point to far away?",Nice! I can see that is my office building across the street. What about you - what's far from you?,FAR 4,https://sn-main.b-cdn.net/system-uploads/scenario-data/c63e3659-bd26-4cf1-afcb-97fa97a9d1cc-FAR_4.mp4,FALSE,,बढ़िया! वहाँ gate के पास मेरी bike है। अब आपकी बारी — आप दूर किस चीज़ की ओर इशारा कर सकते हैं?,,,,,,,,,,,
,conversation,Great! I see that is my bag on that chair over there. Look around - what else is far from you?,Great! I see that is my bag on that chair over there. Look around - what else is far from you?,FAR 5,https://sn-main.b-cdn.net/system-uploads/scenario-data/11208e09-9a91-4577-aa9c-a878b9c25e20-FAR_5.mp4,,,Great! मुझे वहाँ उस chair पर मेरा bag दिख रहा है। इधर-उधर देखिए — आपसे दूर और क्या है?,,,,,,,,,,,
,conversation-result,Perfect! And that is my water bottle on that table. Last one - what do you see in the distance?,Perfect! And that is my water bottle over there. Last one - what do you see in the distance?,FAR 6,https://sn-main.b-cdn.net/system-uploads/scenario-data/df7f14a3-2cd7-49fe-bf84-944dbcf0a90a-FAR_6.mp4,,,Perfect! और वहाँ उस table पर मेरी water bottle है। आख़िरी — आपको दूर क्या दिख रहा है?,,,,,,,,,,,
,conversation-result,You did so well!,आपने बहुत अच्छा किया!,FAR 17,https://sn-main.b-cdn.net/system-uploads/scenario-data/622c40c4-2b89-46f2-b30e-b17c9f62dc42-FAR_17.mp4,,,,,,,,,,,,,,
,media,You now know how to talk about things far from you using 'That is my' followed by the thing that belongs to you. Keep practicing and it'll feel natural in no time!,अब आप जानते हैं कि 'That is my' का use करके दूर की चीज़ों के बारे में कैसे बात करें। Practice करते रहें और यह जल्द ही natural लगने लगेगा!,FAR 18,https://sn-main.b-cdn.net/system-uploads/scenario-data/bdfb9542-600c-422e-9aa0-a26a25da4978-FAR_18.mp4,,,,,,,,,,,,,,
,,,चलो कुछ mistakes review करते हैं,FAR 19,https://sn-main.b-cdn.net/system-uploads/scenario-data/6c4508e6-eb3b-49d4-a79a-9c89014c375d-FAR_19.mp4,,,,,,,,,,,,,,
,,,आपके सारे answers सही हैं! Good job!,FAR 20,https://sn-main.b-cdn.net/system-uploads/scenario-data/0689e46d-c2f1-4674-822a-2f313124f564-FAR_20.mp4,,,,,,,,,,,,,,
,,,wrong nova,sadnova,"V1.1
https://sn-main.b-cdn.net/system-uploads/scenario-data/89ec82ab-655c-46fa-838a-b64d38b85e9b-_OU5--wrong-1.1.mp4 

V1.2
https://sn-main.b-cdn.net/system-uploads/scenario-data/121758c0-03d0-44fa-bf40-77557c153f90-OU5--wrong-1.2.mp4 

V1.3
https://sn-main.b-cdn.net/system-uploads/scenario-data/7be3f2fa-d406-4a38-b32c-1716dddd9fe6-OU5--wrong-1.3.mp4 ",,,,,,,,,,,,,,
,,,correct nova,Correct answer,"V1.1
https://sn-main.b-cdn.net/system-uploads/scenario-data/2922957b-da84-4185-b998-442040b6ace8-OU5--correct-1.1.mp4 

V1.2
https://sn-main.b-cdn.net/system-uploads/scenario-data/65b31b69-3768-4f9b-b375-98cb1f4300d2-OU5--correct-1.2.mp4 ",,,,,,,,,,,,,,
,,,partially correct nova,partiallycorrect ,"V1.1
https://sn-main.b-cdn.net/system-uploads/scenario-data/2291cdf4-2c92-46c1-8bbe-27e0a3e42cf4-_OU5---partial-1.1.mp4 

V1.2
https://sn-main.b-cdn.net/system-uploads/scenario-data/1415fb99-21f4-443c-99aa-bc4eb189901c-OU5---partial-1.2.mp4 

V1.3
https://sn-main.b-cdn.net/system-uploads/scenario-data/81409a34-c42a-4c50-a6e3-07249a95e6f7-OU5---partial-1.3.mp4 ",,,,,,,,,,,,,,
,,,waiting nova,waiting ,https://sn-main.b-cdn.net/system-uploads/scenario-data/167cbed5-3b8e-4c04-9eee-40fba4e12683-OU5--waiting-1.1.mp4,,,,,,,,,,,,,,
