screen_number,screen_type,video_url_script,hindi_video_url_script,video_url,R2 link,auto_advance,overlay_main_text,overlay_sub_text,overlay_hint,overlay_cta_label,correct_answer,mcq_option_a,mcq_option_b,correct_option_id,show_result,success_video_url,failure_video_url,partial_video_url,waiting_video_url
12,conversation,"[Restaurant] Good evening! Can I get you something to drink? We have water, wine, and soda. What do you need?","[Restaurant] Good evening! Can I get you something to drink? We have water, wine, and soda. What do you need?",NEED 4,https://sn-main.b-cdn.net/system-uploads/scenario-data/529528fd-d352-4a25-9dbe-c626fdf73a3d-NEED_4.mp4,FALSE,,"Good evening! क्या आप कुछ पीना चाहेंगे? हमारे पास water, wine, और soda हैं। आपको क्या चाहिए?",,,,,,,,,,,
,conversation,"[Bakery] Good afternoon! We have bread, cake, and cookies. What do you need?","[Bakery] Good afternoon! We have bread, cake, and cookies. What do you need?",NEED 5,https://sn-main.b-cdn.net/system-uploads/scenario-data/962ef424-2fbb-43fe-ab82-5d7eb1857f92-NEED_5.mp4,,,"Good afternoon! हमारे पास bread, cake, और cookies हैं। आपको क्या चाहिए?",,,,,,,,,,,
,conversation-result,You did so well!,आपने बहुत अच्छा किया!,NEED 16,https://sn-main.b-cdn.net/system-uploads/scenario-data/6dfd418c-abd5-4a04-9b73-c6abdc8ed6bc-NEED_16.mp4,,,,,,,,,,,,,,
,media,You now know how to say what you need using 'I need some' followed by the thing you require. Keep practicing and it'll feel natural in no time!,अब आप जानते हैं कि 'I need some' का use करके अपनी ज़रूरत कैसे बताएं और उसके बाद उस चीज़ का नाम बोलें जिसकी आपको ज़रूरत है। Practice करते रहें और यह जल्द ही natural लगने लगेगा!,NEED 17,https://sn-main.b-cdn.net/system-uploads/scenario-data/0892e5b8-ee50-4b75-a8e4-f91d9447d006-NEED_17.mp4,,,,,,,,,,,,,,
,,,आपके सारे answers सही हैं! Good job!,NEED 18,https://sn-main.b-cdn.net/system-uploads/scenario-data/1851c796-3a89-4a68-9680-829ec4a524e0-NEED_18.mp4,,,,,,,,,,,,,,
,,,चलो कुछ mistakes review करते हैं,NEED 19,https://sn-main.b-cdn.net/system-uploads/scenario-data/db9325df-0524-4993-9756-98da7274357d-NEED_19.mp4,,,,,,,,,,,,,,
,,,wrong nova,sadnova,"V1.1
https://sn-main.b-cdn.net/system-uploads/scenario-data/999a0986-52c9-47cb-a2f9-97bdc7f1bf71-OU4-wrong-1.1-thats-not-right.mp4 

V1.2
https://sn-main.b-cdn.net/system-uploads/scenario-data/11da9fd1-8cce-40d7-b9a5-b2190b9771e5-OU4-wrong-1.2-better-luck.mp4 


That's wrong
https://sn-main.b-cdn.net/system-uploads/scenario-data/08622c7f-19aa-4297-9573-8afec9fd3665-OU4-wrong-1.3-thats-the-wrong.mp4 
",,,,,,,,,,,,,,
,,,correct nova,Correct answer,"V1.1
https://sn-main.b-cdn.net/system-uploads/scenario-data/86d975dc-3538-4d6f-90cc-a107523a82b6-OU4--correct-1.1-(1).mp4 

V1.2
https://sn-main.b-cdn.net/system-uploads/scenario-data/3447ccfe-b6b8-4c87-b571-d6678bb094f8-OU4--correct-1.2-(1).mp4 ",,,,,,,,,,,,,,
,,,partially correct nova,partiallycorrect ,"V1.1
https://sn-main.b-cdn.net/system-uploads/scenario-data/0a0768f2-b1fa-4ad0-b4ae-43eb98cac5d8-OU4-partial-1.1-thats-almost-correct.mp4 

V1.2
https://sn-main.b-cdn.net/system-uploads/scenario-data/f4f3db3e-7b3d-48d2-a45d-b4065e14193d-OU4-partial-1.2-nice-try.mp4 

V1.3
https://sn-main.b-cdn.net/system-uploads/scenario-data/58c51836-5f83-4653-b19c-7b4ef9499bd6-OU4-partial-1.3-good-effort.mp4 ",,,,,,,,,,,,,,
,,,waiting nova,waiting ,https://sn-main.b-cdn.net/system-uploads/scenario-data/e31832af-66b2-4077-acf3-f3db2c44591f-OU4-waiting-1.1.mp4,,,,,,,,,,,,,,
