screen_number,screen_type,video_url_script,hindi_video_url_script,video_url,R2 links,auto_advance,overlay_main_text,overlay_sub_text,overlay_hint,overlay_cta_label,correct_answer,mcq_option_a,mcq_option_b,correct_option_id,show_result,success_video_url,failure_video_url,partial_video_url,waiting_video_url
kitchen,conversation,Hey! I just wanted to get to know you a bit. Do you mind if we chat for a minute?,Hey! I just wanted to get to know you a bit. Do you mind if we chat for a minute?,OWN 19,https://sn-main.b-cdn.net/system-uploads/scenario-data/6884f995-4e2d-4530-9f28-ed5ebb4de2c1-OWN_19.mp4,FALSE,,Hey! मैं आपको थोड़ा जानना चाहता हूँ। क्या हम एक मिनट बात कर सकते हैं?,,,,,,,,,,,
kitchen,conversation,"So, what phone do you have? iPhone or Android?","So, which phone do you have? iPhone or Android?",OWN 20,https://sn-main.b-cdn.net/system-uploads/scenario-data/fc4181b9-07ad-4929-a0d0-2cc9ba219a49-OWN_20.mp4,FALSE,,"तो, आपके पास कौन सा phone है? iPhone या Android?",,,,,,,,,,,
,conversation,Nice! What color phone do you have?,Nice! Which color phone do you have?,OWN 21,https://sn-main.b-cdn.net/system-uploads/scenario-data/45fb9d58-5155-40ff-bfdb-f879b7838b91-OWN_21.mp4,,,अच्छा! आपके पास किस color का phone है?,,,,,,,,,,,
12,conversation,Cool! What color bag do you have?,Cool! Which color bag do you have?,OWN 22,https://sn-main.b-cdn.net/system-uploads/scenario-data/40ac47e1-f83d-4ac6-868b-3cb21ef416ae-OWN_22.mp4,FALSE,,Cool! आपके पास किस color का bag है?,,,,,,,,,,,
,conversation,And what kind of water bottle do you have? A plastic bottle or a steel bottle?,And what kind of water bottle do you have? A plastic bottle or a steel bottle?,OWN 23,https://sn-main.b-cdn.net/system-uploads/scenario-data/f9ed9ece-5206-4395-ae6a-fc262a936a54-OWN_23.mp4,,,और आपके पास किस तरह की water bottle है? Plastic की bottle या steel की bottle?,,,,,,,,,,,
,conversation-result,I prefer steel bottles personally. What kind of headphones do you have? Wired headphones or wireless headphones?,I prefer steel bottles. What kind of headphones do you have? Wired headphones or wireless headphones?,OWN 24,https://sn-main.b-cdn.net/system-uploads/scenario-data/a4d9dfa9-9577-4888-ad67-e82aac167092-OWN_24.mp4,,,मुझे personally steel की bottles पसंद हैं। आपके पास किस तरह के headphones हैं? Wired headphones या wireless headphones?,,,,,,,,,,,
,conversation-result,You did so well!,आपने बहुत अच्छा किया!,OWN 17,https://sn-main.b-cdn.net/system-uploads/scenario-data/d5320b3d-a039-4335-94f3-65abb009ee03-OWN_17.mp4,,,,,,,,,,,,,,
,media,You now know how to talk about what you own using 'I have a' or 'I have an' followed by the thing you possess. Keep practicing and it'll feel natural in no time!,अब आप जानते हैं कि 'I have a' या 'I have an' का use करके अपनी चीज़ों के बारे में कैसे बात करें। Practice करते रहें और यह जल्द ही natural लगने लगेगा!,OWN 18,https://sn-main.b-cdn.net/system-uploads/scenario-data/d49fefa5-cf55-40be-a627-c3d06d179cad-OWN_18.mp4,,,,,,,,,,,,,,
,,,चलो कुछ mistakes review करते हैं,OWN 25,https://sn-main.b-cdn.net/system-uploads/scenario-data/a6d51215-8642-44c0-b276-ba05719cf148-OWN_25.mp4,,,,,,,,,,,,,,
,,,आपके सारे answers सही हैं! Good job!,OWN 26,https://sn-main.b-cdn.net/system-uploads/scenario-data/08a558af-a668-44f9-9ed4-cbee7aa58635-OWN_26.mp4,,,,,,,,,,,,,,
,,,wrong nova,sadnova want 1,"V1.1
https://sn-main.b-cdn.net/system-uploads/scenario-data/5aebe7e1-0e33-42d2-9a29-551b80580180-OU2-wrong-better-luck.mp4 

V1.2
https://sn-main.b-cdn.net/system-uploads/scenario-data/c07440bc-b25f-4903-af1e-08cec26f31d4-OU2-wrong-thats-wrong.mp4 

V1.3
https://sn-main.b-cdn.net/system-uploads/scenario-data/3dc746a7-31d3-4099-bc86-c0351f10f8f9-OU2-wrong-v1.1-sadnova.mp4 ",,,,,,,,,,,,,,
,,,correct nova,Correct answer,"V1.1
https://sn-main.b-cdn.net/system-uploads/scenario-data/64692f25-eb70-4a56-bde8-60b5f3ab7ba2-OU2-correct-v1.1-happy.mp4 

V1.2
https://sn-main.b-cdn.net/system-uploads/scenario-data/f370e2ad-4c4d-4a4b-ad03-be4d9dfc1020-OU2-correct-v1.2-happy.mp4 ",,,,,,,,,,,,,,
,,,partially correct nova,partiallycorrect want 1,"V1.1
https://sn-main.b-cdn.net/system-uploads/scenario-data/b3ae8a7f-b5d7-4c7e-bc4e-667211c5686b-OU2-partial.mp4 

V1.2
https://sn-main.b-cdn.net/system-uploads/scenario-data/d4bd249b-2e7c-4051-be21-53b4abfb4537-OU2-partial-good-effort.mp4 

V1.3
https://sn-main.b-cdn.net/system-uploads/scenario-data/2701b0dd-ccf2-4a9e-820a-7907f05f3830-OU2-partial-nice-try.mp4 ",,,,,,,,,,,,,,
,,,waiting nova,waiting want1,https://sn-main.b-cdn.net/system-uploads/scenario-data/f793075d-f892-40ea-8d0a-a298d8564afb-waiting-1.3-(2).mp4,,,,,,,,,,,,,,
