screen_number,screen_type,video_url_script,hindi_video_url_script,video_url,hi_video_url,auto_advance,overlay_main_text,overlay_sub_text,overlay_hint,overlay_cta_label,correct_answer,mcq_option_a,mcq_option_b,correct_option_id,show_result,success_video_url,failure_video_url,partial_video_url,waiting_video_url
kitchen,conversation,Look at this table. What do you see on it?,Hi! Look at this table. What do you see on it?,DESCRIBE 20,https://sn-main.b-cdn.net/system-uploads/scenario-data/d5f73d4f-216f-4e63-9605-8f55b9741367-DECSRIBE_20.mp4,FALSE,इसे English में बोलिए,इस table को देखिए। आपको इस पर क्या दिख रहा है?,There is a [item] in/on the [place],,,,,,,,,,
kitchen,conversation,Look at this basket. What do you see in it?,Look at this basket. What do you see in it?,DESCRIBE 21,https://sn-main.b-cdn.net/system-uploads/scenario-data/16b67a01-2a3d-4c93-9e8b-08499217bf85-DESCRIBE_21.mp4,FALSE,,इस basket को देखिए। आपको इसमें क्या दिख रहा है?,,,,,,,,,,,
12,conversation,Look at this sofa. What do you see on it?,Look at this table. What do you see on it?,DESCRIBE 22,https://sn-main.b-cdn.net/system-uploads/scenario-data/fa916919-dce6-4518-bd0d-8eecbe82174b-DESCRIBE_22.mp4,FALSE,,इस table को देखिए। आपको इस पर क्या दिख रहा है?,,,,,,,,,,,
,conversation,Look at this bag. What do you see in it?,Look at this bag. What do you see in it?,DESCRIBE 23,https://sn-main.b-cdn.net/system-uploads/scenario-data/e71e02a1-dd1c-4e52-b673-c064419f212b-DESCRIBE_23.mp4,,,इस bag को देखिए। आपको इसमें क्या दिख रहा है?,,,,,,,,,,,
,conversation,Look at this desk. What do you see on it?,Look at this box. What do you see in it?,DESCRIBE 24,https://sn-main.b-cdn.net/system-uploads/scenario-data/c1c3d874-9ca8-442e-8c31-2399b7dda29e-DESCRIBE_24.mp4,,,इस box को देखिए। आपको इसमें क्या दिख रहा है?,,,,,,,,,,,
,conversation-result,You did so well! ,आपने बहुत अच्छा किया!,DESCRIBE 16,https://sn-main.b-cdn.net/system-uploads/scenario-data/f005d24b-0f4f-4027-9a2e-fa7617b174ad-DESCRIBE_16.mp4,,,,,,,,,,,,,,
,media,You now know how to describe what's around you using 'There is a' or 'There is an' followed by where the object is. Keep practicing and it'll feel natural in no time!,अब आप जानते हैं कि 'There is a' या 'There is an' का use करके अपने आसपास की चीज़ों को describe कैसे करें और फिर बताएं कि वह कहाँ है। Practice करते रहें और यह जल्द ही आपको natural लगने लगेगा!,DESCRIBE 17,https://sn-main.b-cdn.net/system-uploads/scenario-data/6c7499e6-7ac0-402c-98ed-150ba802e3b7-DESCRIBE_17.mp4,,,,,,,,,,,,,,
,,,आपके सारे answers सही हैं! Good job!,DESCRIBE 18,https://sn-main.b-cdn.net/system-uploads/scenario-data/316a93af-eb73-476c-9f02-35069067418f-DESCRIBE_18.mp4,,,,,,,,,,,,,,
,,,चलो कुछ mistakes review करते हैं,DESCRIBE 19,https://sn-main.b-cdn.net/system-uploads/scenario-data/c2c60574-366d-4ae9-a5e7-4afd7df63567-DESCRIBE_19.mp4,,,,,,,,,,,,,,
,,,wrong nova,sadnova,"V1.1
https://sn-main.b-cdn.net/system-uploads/scenario-data/412a63fb-804c-4fa8-bd18-abf16f5c4e9b-OU3-wrong-1.1-thats-not-right.mp4 

V1.2
https://sn-main.b-cdn.net/system-uploads/scenario-data/5b1bc1b7-0740-42e0-8c19-86300dc57946-OU3-wrong-1.2-better-luck.mp4 

V1.3
https://sn-main.b-cdn.net/system-uploads/scenario-data/d384b22a-ea55-4a6a-ac47-274c2525a771-OU3-wrong-1.3-thats-the-wrong-answer.mp4 ",,,,,,,,,,,,,,
,,,correct nova,Correct answer,"V1.1
https://sn-main.b-cdn.net/system-uploads/scenario-data/798e008d-1202-47ad-a0bc-d2cdb9e5e904-OU3-correct-1.1.mp4 

V1.2
https://sn-main.b-cdn.net/system-uploads/scenario-data/7156cfa0-8fa0-4b90-b1e0-3a1d6ba47ba8-OU3-correct-1.2.mp4 

V1.3
https://sn-main.b-cdn.net/system-uploads/scenario-data/2d7b0d50-0f02-4940-a364-d91f6f833b23-OU3-correct-1.3.mp4 ",,,,,,,,,,,,,,
,,,partially correct nova,partiallycorrect ,"V1.1
https://sn-main.b-cdn.net/system-uploads/scenario-data/2d5af3cf-ed92-4969-9cd4-e344c6abec9f-OU3-partial-1.1.mp4 

V1.2
https://sn-main.b-cdn.net/system-uploads/scenario-data/39d03abd-4cd2-4e2f-abb1-fea279386a73-OU3-partial-1.2-nice-try.mp4 

V1.3
https://sn-main.b-cdn.net/system-uploads/scenario-data/00a1ab94-bed4-4862-ab96-452c49b70bd5-OU3-partial-1.3-good-effort.mp4 ",,,,,,,,,,,,,,
,,,waiting nova,waiting ,https://sn-main.b-cdn.net/system-uploads/scenario-data/62517efa-6cf8-48f4-a39d-810d62469f0a-OU3-waiting.mp4,,,,,,,,,,,,,,
