screen_number,screen_type,video_url_script,hindi_video_url_script,video_url,R2 links,auto_advance,overlay_main_text,overlay_sub_text,overlay_hint,overlay_cta_label,correct_answer,mcq_option_a,mcq_option_b,correct_option_id,show_result,success_video_url,failure_video_url,partial_video_url,waiting_video_url
12,conversation,Cool! There's my water bottle on the desk. Your turn - what's close to you right now?,Cool! This is my water bottle on the table. Your turn - what's close to you right now?,NEAR 24,https://sn-main.b-cdn.net/system-uploads/scenario-data/dbfa094f-7ab9-4e5c-af3f-afbaaa6c377a-NEAR_24.mp4,FALSE,,बढ़िया! मेरी water bottle desk पर है। अब आपकी बारी — अभी आपके पास क्या है?,,,,,,,,,,,
,conversation,Great! I can see my notebook here. Look around - what else is near you?,Great! I can see my notebook here. Look around - what else is near you?,NEAR 25,https://sn-main.b-cdn.net/system-uploads/scenario-data/3510996f-de40-40a3-806c-40aed4347b65-NEAR_25.mp4,,,Great! मुझे यहाँ मेरी notebook दिख रही है। इधर-उधर देखिए — आपके पास और क्या है?,,,,,,,,,,,
,conversation-result,"Perfect! Oh, and this is my pen on the table. Last one - what do you see around you?","Perfect! Oh, and this is my pen on the table. what do you see around you?",NEAR 26,https://sn-main.b-cdn.net/system-uploads/scenario-data/da7f4819-7b4c-467e-93c5-4923d766e156-NEAR_26.mp4,,,Perfect! और यह मेरा pen table पर है। आख़िरी — आपको अपने आसपास क्या दिख रहा है?,,,,,,,,,,,
,conversation-result,You did so well!,आपने बहुत अच्छा किया!,NEAR 17,https://sn-main.b-cdn.net/system-uploads/scenario-data/d33bec24-3e9e-4936-92bb-82ff1d8222b5-NEAR_17.mp4,,,,,,,,,,,,,,
,media,You now know how to talk about things near you using 'This is my' followed by the thing that belongs to you. Keep practicing and it'll feel natural in no time!,अब आप जानते हैं कि 'This is my' का use करके अपने पास की चीज़ों के बारे में कैसे बात करें। Practice करते रहें और यह जल्द ही आपको natural लगने लगेगा!,NEAR 18,https://sn-main.b-cdn.net/system-uploads/scenario-data/84da2392-5639-4b43-afe4-074951847e0b-NEAR_18.mp4,,,,,,,,,,,,,,
,,,चलो कुछ mistakes review करते हैं,NEAR 19,https://sn-main.b-cdn.net/system-uploads/scenario-data/1a927726-ce98-48f1-a578-33cd789473b8-NEAR_19.mp4,,,,,,,,,,,,,,
,,,आपके सारे answers सही हैं! Good job!,NEAR 20,https://sn-main.b-cdn.net/system-uploads/scenario-data/7ea48b5a-f54e-4ebd-b670-051240d343d3-NEAR_20.mp4,,,,,,,,,,,,,,
,,,wrong nova,sadnova,"V1.1
https://sn-main.b-cdn.net/system-uploads/scenario-data/999a0986-52c9-47cb-a2f9-97bdc7f1bf71-OU4-wrong-1.1-thats-not-right.mp4 

V1.2
https://sn-main.b-cdn.net/system-uploads/scenario-data/11da9fd1-8cce-40d7-b9a5-b2190b9771e5-OU4-wrong-1.2-better-luck.mp4 


That's wrong
https://sn-main.b-cdn.net/system-uploads/scenario-data/08622c7f-19aa-4297-9573-8afec9fd3665-OU4-wrong-1.3-thats-the-wrong.mp4 
",,,,,,,,,,,,,,
,,,correct nova,Correct answer,"V1.1
https://sn-main.b-cdn.net/system-uploads/scenario-data/86d975dc-3538-4d6f-90cc-a107523a82b6-OU4--correct-1.1-(1).mp4 

V1.2
https://sn-main.b-cdn.net/system-uploads/scenario-data/3447ccfe-b6b8-4c87-b571-d6678bb094f8-OU4--correct-1.2-(1).mp4 ",,,,,,,,,,,,,,
,,,partially correct nova,partiallycorrect ,"V1.1
https://sn-main.b-cdn.net/system-uploads/scenario-data/0a0768f2-b1fa-4ad0-b4ae-43eb98cac5d8-OU4-partial-1.1-thats-almost-correct.mp4 

V1.2
https://sn-main.b-cdn.net/system-uploads/scenario-data/f4f3db3e-7b3d-48d2-a45d-b4065e14193d-OU4-partial-1.2-nice-try.mp4 

V1.3
https://sn-main.b-cdn.net/system-uploads/scenario-data/58c51836-5f83-4653-b19c-7b4ef9499bd6-OU4-partial-1.3-good-effort.mp4 ",,,,,,,,,,,,,,
,,,waiting nova,waiting ,https://sn-main.b-cdn.net/system-uploads/scenario-data/e31832af-66b2-4077-acf3-f3db2c44591f-OU4-waiting-1.1.mp4,,,,,,,,,,,,,,
