English Script (Introduce Yourself),Hindi Script (Introduce Yourself),heygen video name,,R2 link,Text Overlay,Human or Nova,Comments,
Correct 1,,CORRECT 1 FOV3,,"V1.1
https://sn-main.b-cdn.net/system-uploads/scenario-data/48e01722-656d-4cb7-adf2-79aeacdb5ca8-CORRECT-1-FOV3-v1.1.mp4  

V1.2
https://sn-main.b-cdn.net/system-uploads/scenario-data/df944622-2a6a-40aa-afec-906d6bdb0798-CORRECT-1-FOV3-v1.2.mp4  ",,,,
Correct 2,,CORRECT 2 FOV3,,"V2.1https://sn-main.b-cdn.net/system-uploads/scenario-data/dedd3a89-39da-4411-9bdc-2d83ce935c3a-CORRECT-2-FOV3-1.1.mp44 

V2.2
https://sn-main.b-cdn.net/system-uploads/scenario-data/05508807-33dd-4d83-9a6b-99a785882422-CORRECT-2-FOV3-1.2.mp4 

V2.3
https://sn-main.b-cdn.net/system-uploads/scenario-data/b4795db3-df7c-4e7b-908a-9851c026beb1-CORRECT-2-FOV3-1.3.mp4 ",,,,
Wrong 1,,WRONG 1 FOV3,,"V1.1
https://sn-main.b-cdn.net/system-uploads/scenario-data/c25bea80-1de3-42d2-ac19-05acb9092dc6-WRONG-1-FOV3-v1.1.mp4  

V1.2
https://sn-main.b-cdn.net/system-uploads/scenario-data/b5036fc9-0043-4317-808e-c91064c1c916-WRONG-1-FOV3-v1.2.mp4  ",,,,
Wrong 2,,WRONG 2 FOV3,,"V2.1
https://sn-main.b-cdn.net/system-uploads/scenario-data/e3c9fbf4-38b9-4a12-ad66-b826fc25e4ee-WRONG-2-FOV3-1.2.mp4  

V2.2
https://sn-main.b-cdn.net/system-uploads/scenario-data/a81a49d2-7477-4707-bcd0-9b6caef74455-WRONG-2-FOV3-v1.1.mp4  ",,,,
Waiting,,wait FOV3,,https://sn-main.b-cdn.net/system-uploads/scenario-data/88b66b57-4949-455d-aabf-983972ac7419-wait-FOV3.mp4,,,,
Partial,,partial correct F0V3,,"V1.1
https://sn-main.b-cdn.net/system-uploads/scenario-data/841e1aba-4f53-433d-bd06-3977b7dee9f6-partial-correct-F0V3.mp4 ",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
remember to do atleast one activity a day to boost your fluency!,,,,,,,,
